longitude;time;latitude;date;month_number;climatology_avg;temperature_avg;calculated_temp_avg;climatology_max;temperature_max;calculated_temp_max;climatology_min;temperature_min;calculated_temp_min
-4.5;2012.125;5.5;2/2012;1;27.69;0.2;27.89;33.31;0.34;33.65;22.12;0.3;22.42
-4.5;2012.2083333333333;5.5;3/2012;2;27.75;0.84;28.59;33.39;1.19;34.58;22.19;0.97;23.16
-4.5;2012.2916666666663;5.5;4/2012;3;27.55;0.7;28.25;33.21;0.95;34.16;21.94;0.71;22.65
-4.5;2012.375;5.5;5/2012;4;26.95;0.03;26.98;32.66;0.5;33.16;21.27;0.52;21.79
-4.5;2012.4583333333333;5.5;6/2012;5;25.7;0.55;26.25;31.32;0.72;32.04;20.2;0.89;21.09
-4.5;2012.5416666666663;5.5;7/2012;6;24.84;0.47;25.31;30.6;0.61;31.21;19.29;0.69;19.98
-4.5;2012.625;5.5;8/2012;7;24.48;0.5;24.98;30.18;0.69;30.87;18.9;0.71;19.61
-4.5;2012.7083333333333;5.5;9/2012;8;25.19;1.11;26.3;30.78;1.44;32.22;19.54;1.06;20.6
-4.5;2012.7916666666663;5.5;10/2012;9;26.08;0.74;26.82;31.63;1.08;32.71;20.39;0.98;21.37
-4.5;2012.875;5.5;11/2012;10;26.75;0.95;27.7;32.47;1.01;33.48;20.98;1.13;22.11
-4.5;2012.9583333333333;5.5;12/2012;11;26.55;0.72;27.27;32.21;0.89;33.1;20.96;0.66;21.62
-4.5;2013.0416666666663;5.5;1/2013;0;26.78;0.74;27.52;32.53;1.74;34.27;21.14;-0.49;20.65
-4.5;2013.125;5.5;2/2013;1;27.69;1.38;29.07;33.31;1.86;35.17;22.12;1.33;23.45
-4.5;2013.2083333333333;5.5;3/2013;2;27.75;1.04;28.79;33.39;1.45;34.84;22.19;1.09;23.28
-4.5;2013.2916666666663;5.5;4/2013;3;27.55;1.12;28.67;33.21;1.48;34.69;21.94;1.23;23.17
-4.5;2013.375;5.5;5/2013;4;26.95;0.62;27.57;32.66;0.99;33.65;21.27;0.77;22.04
-4.5;2013.4583333333333;5.5;6/2013;5;25.7;0.69;26.39;31.32;1.01;32.33;20.2;0.95;21.15
-4.5;2013.5416666666663;5.5;7/2013;6;24.84;0.67;25.51;30.6;0.47;31.07;19.29;0.69;19.98
-4.5;2013.625;5.5;8/2013;7;24.48;0.6;25.08;30.18;0.56;30.74;18.9;0.52;19.42
-4.5;2013.7083333333333;5.5;9/2013;8;25.19;0.68;25.87;30.78;0.6;31.38;19.54;0.72;20.26
-4.5;2013.7916666666663;5.5;10/2013;9;26.08;0.9;26.98;31.63;1.13;32.76;20.39;0.52;20.91
-4.5;2013.875;5.5;11/2013;10;26.75;0.53;27.28;32.47;0.56;33.03;20.98;0.8;21.78
-4.5;2013.9583333333333;5.5;12/2013;11;26.55;0.23;26.78;32.21;0.73;32.94;20.96;-0.03;20.93
-4.5;2014.0416666666663;5.5;1/2014;0;26.78;1.04;27.82;32.53;0.96;33.49;21.14;1.46;22.6
-4.5;2014.125;5.5;2/2014;1;27.69;0.62;28.31;33.31;0.57;33.88;22.12;0.52;22.64
-4.5;2014.2083333333333;5.5;3/2014;2;27.75;0.74;28.49;33.39;0.99;34.38;22.19;0.61;22.8
-4.5;2014.2916666666663;5.5;4/2014;3;27.55;0.54;28.09;33.21;0.93;34.14;21.94;0.39;22.33
