longitude,time,latitude,date,month_number,climatology_avg,temperature_avg,calculated_temp_avg,climatology_max,temperature_max,calculated_temp_max,climatology_min,temperature_min,calculated_temp_min
28.5,2012.125,-26.5,2/2012,1,19.92,1.34,21.26,25.58,1.8,27.38,14.38,0.63,15.01
28.5,2012.2083333333333,-26.5,3/2012,2,18.61,0.78,19.39,24.33,1.74,26.07,12.96,-0.21,12.75
28.5,2012.2916666666663,-26.5,4/2012,3,15.28,-0.29,14.99,20.79,0.47,21.26,9.88,-1.62,8.26
28.5,2012.375,-26.5,5/2012,4,11.51,1.98,13.49,17.21,2.91,20.12,5.99,0.67,6.66
28.5,2012.4583333333333,-26.5,6/2012,5,8.11,0.87,8.98,13.84,1.03,14.87,2.65,0.63,3.28
28.5,2012.5416666666663,-26.5,7/2012,6,8.3,1.5,9.8,14.11,1.82,15.93,2.73,0.81,3.54
28.5,2012.625,-26.5,8/2012,7,11.18,1.34,12.52,17.11,1.38,18.49,5.5,0.82,6.32
28.5,2012.7083333333333,-26.5,9/2012,8,15.33,-0.54,14.79,21.08,-1.13,19.95,9.65,-0.3,9.35
28.5,2012.7916666666663,-26.5,10/2012,9,17.91,0.24,18.15,23.5,-0.11,23.39,12.31,0.23,12.54
28.5,2012.875,-26.5,11/2012,10,18.82,0.7,19.52,24.31,1.31,25.62,13.3,-0.1,13.2
28.5,2012.9583333333333,-26.5,12/2012,11,19.85,0.01,19.86,25.5,-0.1,25.4,14.17,-0.04,14.13
28.5,2013.0416666666663,-26.5,1/2013,0,20.31,0.83,21.14,25.93,1.13,27.06,14.72,0.09,14.81
28.5,2013.125,-26.5,2/2013,1,19.92,1.31,21.23,25.58,2.67,28.25,14.38,-0.33,14.05
28.5,2013.2083333333333,-26.5,3/2013,2,18.61,0.78,19.39,24.33,1.47,25.8,12.96,-0.07,12.89
28.5,2013.2916666666663,-26.5,4/2013,3,15.28,-0.07,15.21,20.79,0.53,21.32,9.88,-1.04,8.84
28.5,2013.375,-26.5,5/2013,4,11.51,0.83,12.34,17.21,1.2,18.41,5.99,-0.13,5.86
28.5,2013.4583333333333,-26.5,6/2013,5,8.11,1.89,10,13.84,2.77,16.61,2.65,0.66,3.31
28.5,2013.5416666666663,-26.5,7/2013,6,8.3,1.89,10.19,14.11,1.54,15.65,2.73,1.68,4.41
28.5,2013.625,-26.5,8/2013,7,11.18,0.41,11.59,17.11,-0.16,16.95,5.5,0.28,5.78
28.5,2013.7083333333333,-26.5,9/2013,8,15.33,1.6,16.93,21.08,1.51,22.59,9.65,0.86,10.51
28.5,2013.7916666666663,-26.5,10/2013,9,17.91,-0.14,17.77,23.5,0.3,23.8,12.31,-1.04,11.27
28.5,2013.875,-26.5,11/2013,10,18.82,1.01,19.83,24.31,1.91,26.22,13.3,0.06,13.36
28.5,2013.9583333333333,-26.5,12/2013,11,19.85,-0.7,19.15,25.5,-1.14,24.36,14.17,0.04,14.21
28.5,2014.0416666666663,-26.5,1/2014,0,20.31,1.09,21.4,25.93,1.54,27.47,14.72,0.53,15.25
28.5,2014.125,-26.5,2/2014,1,19.92,0.57,20.49,25.58,0.61,26.19,14.38,0.54,14.92
28.5,2014.2083333333333,-26.5,3/2014,2,18.61,-0.33,18.28,24.33,-1.08,23.25,12.96,0.64,13.6
28.5,2014.2916666666663,-26.5,4/2014,3,15.28,-0.59,14.69,20.79,0.02,20.81,9.88,-1.46,8.42
28.5,2014.375,-26.5,5/2014,4,11.51,1.47,12.98,17.21,2.21,19.42,5.99,0.37,6.36
28.5,2014.4583333333333,-26.5,6/2014,5,8.11,1.07,9.18,13.84,1.79,15.63,2.65,-0.08,2.57
28.5,2014.5416666666663,-26.5,7/2014,6,8.3,-0.11,8.19,14.11,0.36,14.47,2.73,-0.65,2.08
28.5,2014.625,-26.5,8/2014,7,11.18,0.83,12.01,17.11,0.11,17.22,5.5,0.85,6.35
28.5,2014.7083333333333,-26.5,9/2014,8,15.33,1.56,16.89,21.08,2.05,23.13,9.65,0.28,9.93
28.5,2014.7916666666663,-26.5,10/2014,9,17.91,-0.04,17.87,23.5,0.81,24.31,12.31,-0.9,11.41
28.5,2014.875,-26.5,11/2014,10,18.82,-0.57,18.25,24.31,-0.54,23.77,13.3,-0.59,12.71
28.5,2014.9583333333333,-26.5,12/2014,11,19.85,0.41,20.26,25.5,0.41,25.91,14.17,0.37,14.54
28.5,2015.0416666666663,-26.5,1/2015,0,20.31,0.72,21.03,25.93,1.34,27.27,14.72,-0.02,14.7
28.5,2015.125,-26.5,2/2015,1,19.92,1.14,21.06,25.58,2.73,28.31,14.38,-0.64,13.74
28.5,2015.2083333333333,-26.5,3/2015,2,18.61,0.68,19.29,24.33,1.1,25.43,12.96,0.16,13.12
28.5,2015.2916666666663,-26.5,4/2015,3,15.28,0.84,16.12,20.79,1.08,21.87,9.88,0.29,10.17
28.5,2015.375,-26.5,5/2015,4,11.51,2.64,14.15,17.21,3.99,21.2,5.99,0.82,6.81
28.5,2015.4583333333333,-26.5,6/2015,5,8.11,0.94,9.05,13.84,0.96,14.8,2.65,0.71,3.36
28.5,2015.5416666666663,-26.5,7/2015,6,8.3,1.99,10.29,14.11,1.53,15.64,2.73,2.11,4.84
28.5,2015.625,-26.5,8/2015,7,11.18,2.98,14.16,17.11,3.31,20.42,5.5,1.96,7.46
28.5,2015.7083333333333,-26.5,9/2015,8,15.33,1.51,16.84,21.08,0.96,22.04,9.65,1.96,11.61
28.5,2015.7916666666663,-26.5,10/2015,9,17.91,3.08,20.99,23.5,3.81,27.31,12.31,1.74,14.05
28.5,2015.875,-26.5,11/2015,10,18.82,1.55,20.37,24.31,3.05,27.36,13.3,-0.69,12.61
28.5,2015.9583333333333,-26.5,12/2015,11,19.85,3.48,23.33,25.5,4.61,30.11,14.17,1.93,16.1
28.5,2016.0416666666663,-26.5,1/2016,0,20.31,1.41,21.72,25.93,1.7,27.63,14.72,0.94,15.66
28.5,2016.125,-26.5,2/2016,1,19.92,2.23,22.15,25.58,3.12,28.7,14.38,1.21,15.59
28.5,2016.2083333333333,-26.5,3/2016,2,18.61,1.37,19.98,24.33,1.78,26.11,12.96,0.54,13.5
28.5,2016.2916666666663,-26.5,4/2016,3,15.28,2.16,17.44,20.79,2.87,23.66,9.88,1.21,11.09
28.5,2016.375,-26.5,5/2016,4,11.51,0.93,12.44,17.21,0.52,17.73,5.99,1.37,7.36
28.5,2016.4583333333333,-26.5,6/2016,5,8.11,1.94,10.05,13.84,1.71,15.55,2.65,2.24,4.89
28.5,2016.5416666666663,-26.5,7/2016,6,8.3,0.49,8.79,14.11,0.41,14.52,2.73,0.59,3.32
28.5,2016.625,-26.5,8/2016,7,11.18,1.11,12.29,17.11,1.83,18.94,5.5,0.23,5.73
28.5,2016.7083333333333,-26.5,9/2016,8,15.33,1.59,16.92,21.08,1.74,22.82,9.65,1.38,11.03
28.5,2016.7916666666663,-26.5,10/2016,9,17.91,1.13,19.04,23.5,1.8,25.3,12.31,0.18,12.49
28.5,2016.875,-26.5,11/2016,10,18.82,1.27,20.09,24.31,1.59,25.9,13.3,1,14.3
28.5,2016.9583333333333,-26.5,12/2016,11,19.85,1.27,21.12,25.5,1.5,27,14.17,0.98,15.15
28.5,2017.0416666666663,-26.5,1/2017,0,20.31,0,20.31,25.93,-0.13,25.8,14.72,-0.06,14.66
28.5,2017.125,-26.5,2/2017,1,19.92,0.19,20.11,25.58,-0.45,25.13,14.38,0.54,14.92
28.5,2017.2083333333333,-26.5,3/2017,2,18.61,0.25,18.86,24.33,1.3,25.63,12.96,-0.7,12.26
28.5,2017.2916666666663,-26.5,4/2017,3,15.28,0.83,16.11,20.79,1.31,22.1,9.88,0.36,10.24
28.5,2017.375,-26.5,5/2017,4,11.51,0.71,12.22,17.21,1.06,18.27,5.99,0.43,6.42
28.5,2017.4583333333333,-26.5,6/2017,5,8.11,2.14,10.25,13.84,2.64,16.48,2.65,1.66,4.31
28.5,2017.5416666666663,-26.5,7/2017,6,8.3,2.32,10.62,14.11,2.67,16.78,2.73,2.01,4.74
28.5,2017.625,-26.5,8/2017,7,11.18,0.68,11.86,17.11,0.31,17.42,5.5,0.54,6.04
28.5,2017.7083333333333,-26.5,9/2017,8,15.33,1.93,17.26,21.08,2.45,23.53,9.65,1.3,10.95
28.5,2017.7916666666663,-26.5,10/2017,9,17.91,-0.73,17.18,23.5,-0.24,23.26,12.31,-1.01,11.3
28.5,2017.875,-26.5,11/2017,10,18.82,0.13,18.95,24.31,1.64,25.95,13.3,-1.49,11.81
28.5,2017.9583333333333,-26.5,12/2017,11,19.85,0.2,20.05,25.5,0.6,26.1,14.17,-0.31,13.86
28.5,2018.0416666666663,-26.5,1/2018,0,20.31,0.68,20.99,25.93,1.83,27.76,14.72,-0.89,13.83
28.5,2018.125,-26.5,2/2018,1,19.92,0.08,20,25.58,0.02,25.6,14.38,0.1,14.48
28.5,2018.2083333333333,-26.5,3/2018,2,18.61,0.42,19.03,24.33,0.67,25,12.96,0.19,13.15
28.5,2018.2916666666663,-26.5,4/2018,3,15.28,1.29,16.57,20.79,0.99,21.78,9.88,1.62,11.5
28.5,2018.375,-26.5,5/2018,4,11.51,0.94,12.45,17.21,0.99,18.2,5.99,0.98,6.97
28.5,2018.4583333333333,-26.5,6/2018,5,8.11,1.62,9.73,13.84,2.22,16.06,2.65,1.03,3.68
28.5,2018.5416666666663,-26.5,7/2018,6,8.3,0.41,8.71,14.11,0.03,14.14,2.73,0.72,3.45
28.5,2018.625,-26.5,8/2018,7,11.18,2.39,13.57,17.11,2.22,19.33,5.5,2.54,8.04
28.5,2018.7083333333333,-26.5,9/2018,8,15.33,1.24,16.57,21.08,2.2,23.28,9.65,0.04,9.69
28.5,2018.7916666666663,-26.5,10/2018,9,17.91,-0.28,17.63,23.5,0.36,23.86,12.31,-1.68,10.63
28.5,2018.875,-26.5,11/2018,10,18.82,0.68,19.5,24.31,2.07,26.38,13.3,-1.08,12.22
