Stage,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025
Contact procedures not initiated,0,0,0,0,0,0,0,0
1st or 2nd invites,2,2,3,3,3,3,3,3
3rd or more invites,0,0,0,0,0,0,0,0
Data sharing discussions and eligibility check,0,0,0,0,0,0,0,0
DTA in progress,15,15,15,15,15,15,15,15
DTA completed,0,0,0,0,0,0,0,0
Data sets in hand,2,2,2,2,2,2,2,2
Database harmonization,0,0,0,0,0,0,0,0
Database ready for analysis,0,0,0,0,0,0,0,0
Ineligible/declined participation/data currently unavailable,0,0,0,0,0,0,0,0
Total,19,19,20,20,20,20,20,20
