Stage,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025
Contact procedures not initiated,0,0,0,0,0,0,0,0
1st or 2nd invites,14,11,11,7,7,7,6,5
3rd or more invites,4,2,3,4,4,4,4,4
Data sharing discussions and eligibility check,4,9,8,5,5,5,6,6
DTA in progress,0,0,0,0,0,0,0,0
DTA completed,2,0,0,0,0,0,0,2
Data sets in hand,0,0,0,0,0,0,0,0
Database harmonization,14,16,16,18,18,18,18,18
Database ready for analysis,0,0,0,0,0,0,0,0
Ineligible/declined participation/data currently unavailable,8,8,8,12,12,12,12,12
Total,46,46,46,46,46,46,46,47
