Stage,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
Contact procedures not initiated,0,0,0,0,0,0
1st or 2nd invites,8,7,6,5,4,3
3rd or more invites,6,5,4,3,2,1
Next steps/application sent,21,21,21,21,21,21
Park,8,8,8,8,8,8
Entering into DTA,60,60,60,60,60,60
Batch to send to Ethics,2,2,2,2,2,2
Transfer of data in progress,27,27,27,27,27,27
Data sets in hand,5,5,5,5,5,5
Health check in progress,3,3,3,3,3,3
Harmonization in progress,0,0,0,0,0,0
Geo-coding in progress,0,0,0,0,0,0
Database finalized,0,0,0,0,0,0
Data currently unavailable,21,21,21,21,21,21
Declined Participation,3,3,3,3,3,3
